symbol,year,month,day,open,volume
Amazon,2010,1,4,6.8125,151998000
Amazon,2010,1,5,6.6715,177038000
Amazon,2010,1,6,6.73,143576000
Amazon,2010,1,7,6.6005,220604000
Amazon,2010,1,8,6.528,196610000
Amazon,2010,1,11,6.631,175588000
Amazon,2010,1,12,6.4495,181926000
Amazon,2010,1,13,6.395,214464000
Amazon,2010,1,14,6.457,195498000
Amazon,2010,1,15,6.459,307530000
Amazon,2010,1,19,6.3155,177852000
Amazon,2010,1,20,6.3565,181494000
Amazon,2010,1,21,6.363,199412000
Amazon,2010,1,22,6.28,231378000
Amazon,2010,1,25,6.105,240478000
Amazon,2010,1,26,6.028,191180000
Amazon,2010,1,27,6.0515,295306000
Amazon,2010,1,28,6.2215,545862000
Amazon,2010,1,29,6.4885,589426000
Amazon,2010,2,1,6.159,755488000
Amazon,2010,2,2,5.9395,461594000
Amazon,2010,2,3,5.856,248118000
Amazon,2010,2,4,5.932,255680000
Amazon,2010,2,5,5.794,220496000
Amazon,2010,2,8,5.969,197804000
Amazon,2010,2,9,5.91,184460000
Amazon,2010,2,10,5.9,124664000
Amazon,2010,2,11,5.8605,166870000
Amazon,2010,2,12,5.9495,161470000
Amazon,2010,2,16,6.003,178654000
Amazon,2010,2,17,5.8535,178896000
Amazon,2010,2,18,5.792,196002000
Amazon,2010,2,19,5.8955,142312000
Amazon,2010,2,22,5.8685,136146000
Amazon,2010,2,23,5.9005,141364000
Amazon,2010,2,24,5.898,147798000
Amazon,2010,2,25,5.9085,190668000
Amazon,2010,2,26,5.894,114432000
Amazon,2010,3,1,5.935,265930000
Amazon,2010,3,2,6.2505,241950000
Amazon,2010,3,3,6.27,128808000
Amazon,2010,3,4,6.299,150194000
Amazon,2010,3,5,6.4565,135386000
Amazon,2010,3,8,6.415,112118000
Amazon,2010,3,9,6.4795,121416000
Amazon,2010,3,10,6.4555,112514000
Amazon,2010,3,11,6.5225,144816000
Amazon,2010,3,12,6.71,123016000
Amazon,2010,3,15,6.585,126584000
Amazon,2010,3,16,6.562,82650000
Amazon,2010,3,17,6.6205,87176000
Amazon,2010,3,18,6.551,100426000
Amazon,2010,3,19,6.6855,178100000
Amazon,2010,3,22,6.51,107668000
Amazon,2010,3,23,6.5445,84262000
Amazon,2010,3,24,6.432,93928000
Amazon,2010,3,25,6.457,324192000
Amazon,2010,3,26,6.745,131314000
Amazon,2010,3,29,6.7685,92538000
Amazon,2010,3,30,6.787,123854000
Amazon,2010,3,31,6.8,92012000
Amazon,2010,4,1,6.79,175716000
Amazon,2010,4,5,6.6425,116330000
Amazon,2010,4,6,6.5615,159006000
Amazon,2010,4,7,6.798,118908000
Amazon,2010,4,8,6.7355,253782000
Amazon,2010,4,9,7.036,120222000
Amazon,2010,4,12,7,108906000
Amazon,2010,4,13,7.0615,95710000
Amazon,2010,4,14,7.017,158006000
Amazon,2010,4,15,7.2275,156592000
Amazon,2010,4,16,7.244,167936000
Amazon,2010,4,19,7.1175,120440000
Amazon,2010,4,20,7.1915,86234000
Amazon,2010,4,21,7.2585,147488000
Amazon,2010,4,22,7.3505,303316000
Amazon,2010,4,23,7.269,379504000
Amazon,2010,4,26,7.16,186366000
Amazon,2010,4,27,7.2775,172780000
Amazon,2010,4,28,7.1295,184706000
Amazon,2010,4,29,7.0045,126284000
Amazon,2010,4,30,7.07,122270000
Amazon,2010,5,3,6.86,113092000
Amazon,2010,5,4,6.781,253356000
Amazon,2010,5,5,6.4,189162000
Amazon,2010,5,6,6.5,203780000
Amazon,2010,5,7,6.3985,238552000
Amazon,2010,5,10,6.4865,136122000
Amazon,2010,5,11,6.4975,120882000
Amazon,2010,5,12,6.5705,118090000
Amazon,2010,5,13,6.6965,118804000
Amazon,2010,5,14,6.518,105556000
Amazon,2010,5,17,6.412,112844000
Amazon,2010,5,18,6.507,105138000
Amazon,2010,5,19,6.2755,129266000
Amazon,2010,5,20,6.132,171888000
Amazon,2010,5,21,5.895,159338000
Amazon,2010,5,24,6.1285,90718000
Amazon,2010,5,25,5.927,138268000
Amazon,2010,5,26,6.2525,139292000
Amazon,2010,5,27,6.249,94954000
Amazon,2010,5,28,6.3035,79096000
Amazon,2010,6,1,6.2485,73190000
Amazon,2010,6,2,6.201,95294000
Amazon,2010,6,3,6.3125,105538000
Amazon,2010,6,4,6.3165,109954000
Amazon,2010,6,7,6.292,131328000
Amazon,2010,6,8,6.1,229688000
Amazon,2010,6,9,6.0155,147384000
Amazon,2010,6,10,6,121236000
Amazon,2010,6,11,6.0695,84092000
Amazon,2010,6,14,6.212,78460000
Amazon,2010,6,15,6.16,90820000
Amazon,2010,6,16,6.2695,79286000
Amazon,2010,6,17,6.337,69580000
Amazon,2010,6,18,6.324,76720000
Amazon,2010,6,21,6.3395,106554000
Amazon,2010,6,22,6.1325,124144000
Amazon,2010,6,23,6.1055,109102000
Amazon,2010,6,24,6.0305,155422000
Amazon,2010,6,25,5.907,115394000
Amazon,2010,6,28,5.9425,112244000
Amazon,2010,6,29,5.813,257326000
Amazon,2010,6,30,5.429,194814000
Amazon,2010,7,1,5.445,170596000
Amazon,2010,7,2,5.546,89542000
Amazon,2010,7,6,5.5325,104386000
Amazon,2010,7,7,5.492,98820000
Amazon,2010,7,8,5.751,135500000
Amazon,2010,7,9,5.8275,81302000
Amazon,2010,7,12,5.8905,95672000
Amazon,2010,7,13,6.0345,141822000
Amazon,2010,7,14,6.1515,105140000
Amazon,2010,7,15,6.0065,120954000
Amazon,2010,7,16,6.064,124558000
Amazon,2010,7,19,5.919,100618000
Amazon,2010,7,20,6.0305,135700000
Amazon,2010,7,21,6.031,100234000
Amazon,2010,7,22,5.9355,300068000
Amazon,2010,7,23,5.2965,848422000
Amazon,2010,7,26,5.913,222756000
Amazon,2010,7,27,5.9215,155922000
Amazon,2010,7,28,5.85,109446000
Amazon,2010,7,29,5.8995,123516000
Amazon,2010,7,30,5.7765,141550000
Amazon,2010,8,2,5.9575,108874000
Amazon,2010,8,3,6,119076000
Amazon,2010,8,4,6.153,185416000
Amazon,2010,8,5,6.3385,85646000
Amazon,2010,8,6,6.336,101304000
Amazon,2010,8,9,6.423,101716000
Amazon,2010,8,10,6.3975,114138000
Amazon,2010,8,11,6.405,110834000
Amazon,2010,8,12,6.188,87358000
Amazon,2010,8,13,6.303,79532000
Amazon,2010,8,16,6.1805,80494000
Amazon,2010,8,17,6.367,100894000
Amazon,2010,8,18,6.4625,158030000
Amazon,2010,8,19,6.461,111650000
Amazon,2010,8,20,6.36,83402000
Amazon,2010,8,23,6.393,77226000
Amazon,2010,8,24,6.2705,107394000
Amazon,2010,8,25,6.1925,106890000
Amazon,2010,8,26,6.3575,93890000
Amazon,2010,8,27,6.273,101600000
Amazon,2010,8,30,6.3015,68520000
Amazon,2010,8,31,6.1425,84512000
Amazon,2010,9,1,6.318,142766000
Amazon,2010,9,2,6.6085,108148000
Amazon,2010,9,3,6.8445,131624000
Amazon,2010,9,7,6.878,77660000
Amazon,2010,9,8,6.8965,116570000
Amazon,2010,9,9,7.0195,99160000
Amazon,2010,9,10,7.0375,100872000
Amazon,2010,9,13,7.2035,101548000
Amazon,2010,9,14,7.225,86388000
Amazon,2010,9,15,7.244,98072000
Amazon,2010,9,16,7.27,116540000
Amazon,2010,9,17,7.445,145192000
Amazon,2010,9,20,7.435,128988000
Amazon,2010,9,21,7.538,150840000
Amazon,2010,9,22,7.492,132248000
Amazon,2010,9,23,7.56,141312000
Amazon,2010,9,24,7.7715,211812000
Amazon,2010,9,27,8.011,128926000
Amazon,2010,9,28,7.992,169884000
Amazon,2010,9,29,7.9515,145750000
Amazon,2010,9,30,8.0005,152120000
Amazon,2010,10,1,7.854,173668000
Amazon,2010,10,4,7.6975,106930000
Amazon,2010,10,5,7.854,112400000
Amazon,2010,10,6,8.03,121216000
Amazon,2010,10,7,7.8255,92440000
Amazon,2010,10,8,7.759,138368000
Amazon,2010,10,11,7.7445,89728000
Amazon,2010,10,12,7.6255,105616000
Amazon,2010,10,13,7.8345,112656000
Amazon,2010,10,14,7.758,80482000
Amazon,2010,10,15,7.921,202710000
Amazon,2010,10,18,8.25,126626000
Amazon,2010,10,19,8.034,150500000
Amazon,2010,10,20,7.939,115808000
Amazon,2010,10,21,8.1335,269650000
Amazon,2010,10,22,8.1225,326368000
Amazon,2010,10,25,8.5785,130618000
