symbol,year,volumeYear
Amazon,2010,36739730000
Amazon,2011,29199572000
Amazon,2012,20998082000
Amazon,2013,14958114000
Amazon,2014,20581334000
Amazon,2015,19142040000
Amazon,2016,20775126000
Amazon,2017,17654108000
Amazon,2018,28357952000
Amazon,2019,19493002000
Amazon,2020,24950814000
Amazon,2021,17076362000
Amazon,2022,19033855100
Apple,2010,151024927200
Apple,2011,124059339600
Apple,2012,131964204400
Apple,2013,102421569600
Apple,2014,63657952400
Apple,2015,52264199600
Apple,2016,38729911200
Apple,2017,27243106000
Apple,2018,34156144800
Apple,2019,28254942800
Apple,2020,39863855600
Apple,2021,22812206100
Apple,2022,21988470300
Google,2010,32021390556
Google,2011,30997427544
Google,2012,26017704252
Google,2013,21019959000
Google,2014,13438698744
Google,2015,10935884000
Google,2016,9924082000
Google,2017,8118022000
Google,2018,10270748000
Google,2019,7625710000
Google,2020,10108138000
Google,2021,7689512000
Google,2022,8702663800
Microsoft,2010,15892924000
Microsoft,2011,15292282000
Microsoft,2012,11984490100
Microsoft,2013,12251098000
Microsoft,2014,8399600600
Microsoft,2015,9059455900
Microsoft,2016,7819726800
Microsoft,2017,5631478600
Microsoft,2018,7929137400
Microsoft,2019,6194410500
Microsoft,2020,9527876900
Microsoft,2021,6555279200
Microsoft,2022,7814111200
